true_label,pred_label,n,rate_within_true
CN,CN,148,0.961038961038961
CN,MCI,5,0.032467532467532464
CN,AD,1,0.006493506493506494
MCI,CN,2,0.05714285714285714
MCI,MCI,24,0.6857142857142857
MCI,AD,9,0.2571428571428571
AD,CN,0,0.0
AD,MCI,4,0.14814814814814814
AD,AD,23,0.8518518518518519
