split,group,n,clin_age_n,clin_age_mean,clin_age_median,clin_mmse_n,clin_mmse_mean,clin_mmse_median,clin_cdrsb_n,clin_cdrsb_mean,clin_cdrsb_median,clin_apoe4_n,clin_apoe4_mean,clin_apoe4_median,atlas_hippocampus_volume_n,atlas_hippocampus_volume_mean,atlas_hippocampus_volume_median,atlas_amygdala_volume_n,atlas_amygdala_volume_mean,atlas_amygdala_volume_median,atlas_lateral_ventricle_volume_n,atlas_lateral_ventricle_volume_mean,atlas_lateral_ventricle_volume_median,atlas_cortex_volume_n,atlas_cortex_volume_mean,atlas_cortex_volume_median,atlas_ad_like_z_n,atlas_ad_like_z_mean,atlas_ad_like_z_median,max_prob_n,max_prob_mean,max_prob_median,margin_n,margin_mean,margin_median
aibl_heldout,CN_correct,148,148,72.70867117117118,73.0,148,28.700563063063065,29.0,148,0.0016891891891891893,0.0,148,0.2905405405405405,0.0,148,0.0083088132848036,0.008293632417917252,148,0.00332846300633727,0.003356694069225341,148,0.03192074058062464,0.03072371380403638,148,0.4486178224251882,0.44821474701166153,148,-0.09209700349741971,-0.1541209517319052,148,0.8825913539722445,0.8889344019498686,148,0.7914060451084733,0.8050787403922469
aibl_heldout,CN_to_MCI_AD,6,6,74.8,72.5,6,28.416666666666668,28.5,6,0.4166666666666667,0.5,6,0.8333333333333334,1.0,6,0.007559662545099854,0.007512988522648811,6,0.0027617224996599058,0.0025651210453361273,6,0.037840242870151995,0.031533566955477,6,0.44535905197262765,0.44996378421783445,6,0.7804361544722317,0.7665874629497933,6,0.6554314215833484,0.673336400007809,6,0.39364365017642355,0.4155134968412134
aibl_heldout,MCI_correct,24,24,75.34027777777777,76.0,24,27.75347222222222,28.0,24,0.5,0.5,24,0.4583333333333333,0.0,24,0.007898901818811687,0.007662381045520306,24,0.003103803255928344,0.0032339186291210353,24,0.04681753248668327,0.045749956741929054,24,0.4361625136290159,0.43364567309617996,24,0.5841088811844671,0.5750412016086797,24,0.6675993676017019,0.6534491443044081,24,0.4027657927506361,0.36647079144111305
aibl_heldout,MCI_to_CN,2,2,68.0,68.0,2,30.0,30.0,2,0.0,0.0,2,0.5,0.5,2,0.007965236902236938,0.007965236902236938,2,0.002974973525851965,0.002974973525851965,2,0.023982576094567776,0.023982576094567776,2,0.4561067521572113,0.4561067521572113,2,0.13866382001379982,0.13866382001379982,2,0.9116658212895886,0.9116658212895886,2,0.8450675998695338,0.8450675998695338
aibl_heldout,MCI_to_AD,9,9,70.94444444444444,69.0,9,23.63888888888889,24.0,9,0.5555555555555556,0.5,9,1.1111111111111112,1.0,9,0.007407680074080687,0.0075324769131839275,9,0.002881992288166657,0.0027291582664474845,9,0.03876909172093427,0.044025156646966934,9,0.4278344823806374,0.4278271496295929,9,0.7652558643620365,0.8169470803622972,9,0.730001766918309,0.7313008954446839,9,0.5104638028949355,0.5168507844376259
aibl_heldout,AD_correct,23,23,74.19275362318841,75.0,23,21.202898550724637,22.333333333333332,23,0.8297101449275363,1.0,23,0.8260869565217391,1.0,23,0.00728027548816433,0.00724624702706933,23,0.0028313112978324076,0.0027283577946946025,23,0.06045098327154266,0.055569592863321304,23,0.44002937862406605,0.438460573554039,23,1.349853120173483,1.401138456955095,23,0.8618093310937992,0.9074553940919696,23,0.760684736508837,0.8462616061365661
aibl_heldout,AD_to_CN_MCI,4,4,74.25,75.0,4,25.75,26.0,4,0.5,0.5,4,1.0,1.0,4,0.0075623809825629,0.007474276935681701,4,0.002962417609523982,0.002807652286719531,4,0.040391150396317244,0.041607603430747986,4,0.44116125628352165,0.4418608769774437,4,0.6790005779849683,0.8631613768760285,4,0.6338494310085891,0.6380335132098143,4,0.42228124395866806,0.41891490701367384
