variant,kind,aibl_n,aibl_acc,aibl_bacc,aibl_auc,aibl_ad_vs_cn_auc,aibl_recall_CN,aibl_recall_MCI,aibl_recall_AD,aibl_ad_to_cn_errors,ixi_cn_retention,ixi_false_impairment,oasis_bacc_stress,aibl_ece,aibl_brier,aibl_nll,notes,dropped_model,dropped_model_short
Drop atlas+bio HGB,leave_one_out,216,0.9074074074074074,0.8350328683662017,0.9353471560178623,1.0,0.9675324675324676,0.6857142857142857,0.8518518518518519,0,1.0,0.0,0.3333333333333333,0.07100847235675745,0.15516010263718172,0.31438527360692836,Removed aibl_adapted_atlas_biomarker_enhanced__hgb; remaining weights renormalized.,aibl_adapted_atlas_biomarker_enhanced__hgb,atlas+bio HGB
Drop atlas+clinical HGB,leave_one_out,216,0.9074074074074074,0.8350328683662017,0.9363691921614961,0.9997594997594997,0.9675324675324676,0.6857142857142857,0.8518518518518519,0,1.0,0.0,0.3335281511786479,0.07962749904939907,0.15948337782546396,0.31925818899756314,Removed aibl_adapted_atlas_core_clinical__hgb; remaining weights renormalized.,aibl_adapted_atlas_core_clinical__hgb,atlas+clinical HGB
Drop clinical+bio RF,leave_one_out,216,0.8981481481481481,0.8233445566778901,0.9373563360297972,0.9983164983164983,0.961038961038961,0.6571428571428571,0.8518518518518519,0,1.0,0.0,0.30457113507960965,0.080991491733999,0.16885816145652577,0.3409703339539759,Removed aibl_adapted_clinical_biomarker_only__rf_balanced; remaining weights renormalized.,aibl_adapted_clinical_biomarker_only__rf_balanced,clinical+bio RF
Drop clinical HGB,leave_one_out,216,0.8981481481481481,0.8233445566778901,0.9401512598034641,0.9983164983164983,0.961038961038961,0.6571428571428571,0.8518518518518519,0,0.9965576592082617,0.0034423407917383297,0.3219099233126118,0.07733698857415817,0.16479142506544228,0.3245088987825959,Removed aibl_adapted_clinical_core_only__hgb; remaining weights renormalized.,aibl_adapted_clinical_core_only__hgb,clinical HGB
Drop clinical RF,leave_one_out,216,0.9027777777777778,0.8328683662016996,0.9374686599623948,0.9990379990379991,0.961038961038961,0.6857142857142857,0.8518518518518519,0,1.0,0.0,0.3335281511786479,0.07525563782368526,0.1606821503167009,0.31917405808572746,Removed aibl_adapted_clinical_core_only__rf_balanced; remaining weights renormalized.,aibl_adapted_clinical_core_only__rf_balanced,clinical RF
Drop cascade RF-logreg,leave_one_out,216,0.9027777777777778,0.8328683662016996,0.9368295469416283,0.9995189995189995,0.961038961038961,0.6857142857142857,0.8518518518518519,0,1.0,0.0,0.3335281511786479,0.07315183175769592,0.1600393838893078,0.3202144742264995,Removed rf__logreg; remaining weights renormalized.,rf__logreg,cascade RF-logreg
