variant,kind,aibl_n,aibl_acc,aibl_bacc,aibl_auc,aibl_ad_vs_cn_auc,aibl_recall_CN,aibl_recall_MCI,aibl_recall_AD,aibl_ad_to_cn_errors,ixi_cn_retention,ixi_false_impairment,oasis_bacc_stress,aibl_ece,aibl_brier,aibl_nll,notes,source,temperature
random_0000,risk_candidate,216,0.7314814814814815,0.38271604938271603,0.9368604018020618,0.9858104858104858,1.0,0.0,0.14814814814814814,23,1.0,0.0,0.3333333333333333,0.19781160871661652,0.37282260536773854,0.6757249364273611,Random candidate from RC-SPE pooling family.,random_pool,1.8980651572075444
random_0001,risk_candidate,216,0.7268518518518519,0.3907327240660574,0.9213746864017166,0.9757094757094757,0.987012987012987,0.0,0.18518518518518517,20,1.0,0.0,0.3220338983050847,0.22165983719296478,0.43959050141901057,0.871813656579119,Random candidate from RC-SPE pooling family.,random_pool,0.781390998715745
random_0002,risk_candidate,216,0.7361111111111112,0.38831168831168833,0.9325362095310236,0.9848484848484849,0.9935064935064936,0.17142857142857143,0.0,19,1.0,0.0,0.3333333333333333,0.21258122407029412,0.3354112760385907,0.6371270608440105,Random candidate from RC-SPE pooling family.,random_pool,1.5322047195771136
random_0003,risk_candidate,216,0.8518518518518519,0.6518037518037517,0.9501419434598529,0.9987974987974988,0.9935064935064936,0.6285714285714286,0.3333333333333333,5,1.0,0.0,0.3333333333333333,0.07278057868365068,0.21309114860851489,0.4084265075749726,Random candidate from RC-SPE pooling family.,random_pool,0.8014650916472427
random_0004,risk_candidate,216,0.8611111111111112,0.710357543690877,0.9556042681108964,0.9983164983164983,0.9935064935064936,0.2857142857142857,0.8518518518518519,3,1.0,0.0,0.3333333333333333,0.06583241322509482,0.1882742282034295,0.35835639641987554,Random candidate from RC-SPE pooling family.,random_pool,0.8943525655204443
random_0005,risk_candidate,216,0.7361111111111112,0.3950617283950617,0.9416415492396094,0.9903799903799904,1.0,0.0,0.18518518518518517,22,1.0,0.0,0.3333333333333333,0.18108336381493131,0.3435814043122583,0.5714348720377014,Random candidate from RC-SPE pooling family.,random_pool,1.4737139948738565
random_0006,risk_candidate,216,0.7222222222222222,0.35802469135802467,0.9535458823099283,0.9983164983164983,1.0,0.0,0.07407407407407407,25,1.0,0.0,0.3333333333333333,0.2180911781609586,0.29594697019835,0.5137029205006625,Random candidate from RC-SPE pooling family.,random_pool,1.7755670835763573
random_0007,risk_candidate,216,0.9027777777777778,0.8187590187590188,0.9488283958322968,0.9990379990379991,0.961038961038961,0.8285714285714286,0.6666666666666666,0,1.0,0.0,0.3450224040522112,0.21300545512041152,0.2278344719977222,0.4474054266213322,Random candidate from RC-SPE pooling family.,random_pool,1.0278025790895593
random_0008,risk_candidate,216,0.9120370370370371,0.8332691999358666,0.9527712153249293,0.9992784992784993,0.9675324675324676,0.8285714285714286,0.7037037037037037,0,0.8967297762478486,0.10327022375215145,0.3670368205727645,0.3262461178167718,0.3218896000611978,0.5949902631040287,Random candidate from RC-SPE pooling family.,random_pool,1.5818393658453607
random_0009,risk_candidate,216,0.7314814814814815,0.4047939714606381,0.9280908793085052,0.9795574795574795,0.9805194805194806,0.08571428571428572,0.14814814814814814,20,1.0,0.0,0.3220338983050847,0.17699218329114613,0.34961131500647435,0.5808969939452723,Random candidate from RC-SPE pooling family.,random_pool,0.8391770533005986
random_0010,risk_candidate,216,0.7268518518518519,0.3703703703703704,0.9248754311877674,0.9785954785954786,1.0,0.0,0.1111111111111111,21,1.0,0.0,0.3333333333333333,0.21073480806600584,0.34883990430489564,0.6097031521250079,Random candidate from RC-SPE pooling family.,random_pool,2.2191288104624203
random_0011,risk_candidate,216,0.8055555555555556,0.5763187429854096,0.9551841349747138,0.9992784992784993,0.9935064935064936,0.14285714285714285,0.5925925925925926,9,1.0,0.0,0.3333333333333333,0.10021162915056595,0.22126110163783227,0.4031882685201947,Random candidate from RC-SPE pooling family.,random_pool,1.0221575581206062
random_0012,risk_candidate,216,0.8101851851851852,0.5773769440436106,0.9441325627423921,0.9963924963924964,0.9935064935064936,0.2571428571428571,0.48148148148148145,10,1.0,0.0,0.3333333333333333,0.07536974528928762,0.23080559418955032,0.4035223252058447,Random candidate from RC-SPE pooling family.,random_pool,0.7834432320080925
random_0013,risk_candidate,216,0.8703703703703703,0.7702421035754369,0.952714494455695,0.9990379990379991,0.935064935064935,0.8571428571428571,0.5185185185185185,0,0.0,1.0,0.3333333333333333,0.2953590220380828,0.3858244562692957,0.6489231127928595,Random candidate from RC-SPE pooling family.,random_pool,1.3896200049215919
