variant,aibl_nll,aibl_brier,aibl_ece,aibl_acc,aibl_bacc
Best single base model,0.4160108597168261,0.21050440778264704,0.12168453611913525,0.8657407407407407,0.7555715889049223
Arithmetic mean ensemble,0.39999762925279325,0.20542572395164319,0.11247160497001304,0.8657407407407407,0.7114157447490781
Equal log-pooling,0.39990333004069595,0.21570847693569128,0.09421556011130958,0.8333333333333334,0.6475709475709476
Final weights only,0.36577460967622416,0.1794171786671525,0.13572754893868633,0.9027777777777778,0.8153278819945488
Weights + offsets,0.4751548883094285,0.2353183921324782,0.2189539780164053,0.8981481481481481,0.8233445566778901
Weights + temperature,0.2983257520200909,0.1524036033385382,0.05153361595286189,0.9027777777777778,0.8153278819945488
Full RC-SPE (subject-level),0.3199962481390627,0.1601451789605104,0.077795186766807,0.9027777777777778,0.8328683662016996
