variant,kind,aibl_n,aibl_acc,aibl_bacc,aibl_auc,aibl_ad_vs_cn_auc,aibl_recall_CN,aibl_recall_MCI,aibl_recall_AD,aibl_ad_to_cn_errors,ixi_cn_retention,ixi_false_impairment,oasis_bacc_stress,aibl_ece,aibl_brier,aibl_nll,notes,run,tune_score
atlas+bio HGB,base_model,216,0.8657407407407407,0.7555715889049223,0.9453945074154276,0.993987493987494,0.9545454545454546,0.5714285714285714,0.7407407407407407,2,0.9965576592082617,0.0034423407917383297,0.3104156704390486,0.12168453611913525,0.21050440778264704,0.4160108597168261,tune_score=0.6741; run=aibl_adapted_atlas_biomarker_enhanced__hgb,aibl_adapted_atlas_biomarker_enhanced__hgb,0.6741197912170743
atlas+clinical HGB,base_model,216,0.8657407407407407,0.7453904120570787,0.9451439087693712,0.9942279942279942,0.961038961038961,0.5714285714285714,0.7037037037037037,1,0.9982788296041308,0.0017211703958691649,0.3220338983050847,0.11557241730336035,0.20228696622156536,0.39629101652998694,tune_score=0.6652; run=aibl_adapted_atlas_core_clinical__hgb,aibl_adapted_atlas_core_clinical__hgb,0.6652492816086749
clinical HGB,base_model,216,0.9027777777777778,0.8096841430174763,0.9484547568375411,1.0,0.974025974025974,0.7142857142857143,0.7407407407407407,0,1.0,0.0,0.3333333333333333,0.1603305500972537,0.186275768275603,0.38322498736434707,tune_score=0.6549; run=aibl_adapted_clinical_core_only__hgb,aibl_adapted_clinical_core_only__hgb,0.6548652635510741
clinical RF,base_model,216,0.9166666666666666,0.8438993105659772,0.9501310563883859,0.9995189995189995,0.974025974025974,0.7428571428571429,0.8148148148148148,0,1.0,0.0,0.3333333333333333,0.17521599634292792,0.18488086182569086,0.3923678795326185,tune_score=0.6434; run=aibl_adapted_clinical_core_only__rf_balanced,aibl_adapted_clinical_core_only__rf_balanced,0.6433659499963462
clinical+bio RF,base_model,216,0.8888888888888888,0.7793971460638128,0.9513996747180684,0.9995189995189995,0.9805194805194806,0.5428571428571428,0.8148148148148148,0,1.0,0.0,0.3333333333333333,0.12377678411757556,0.17203459927178358,0.34695139931046903,tune_score=0.6109; run=aibl_adapted_clinical_biomarker_only__rf_balanced,aibl_adapted_clinical_biomarker_only__rf_balanced,0.6109429814960329
cascade RF-logreg,base_model,216,0.7083333333333334,0.3718935385602052,0.7540204145028003,0.8944203944203944,0.9675324675324676,0.0,0.14814814814814814,20,1.0,0.0,0.3050847457627119,0.24854586933601422,0.5185425188477466,1.0998370641515525,tune_score=0.5542; run=rf__logreg,rf__logreg,0.5542030592627301
