model,evaluation,acc,balanced_acc,macro_auc,ad_vs_cn_auc,cn_retention,recall_cn,recall_mci,recall_ad,note
Old v3 ensemble,AIBL external,0.6059678653404744,0.3986212454685547,0.5974888400448501,,,,,,Failed external baseline
Old v3 ensemble,IXI healthy,0.4388984509466437,0.4388984509466437,,,0.4388984509466437,,,,High false impairment rate
Atlas-only HGB,AIBL heldout,0.7758186397984886,0.4787670667665018,0.7324340577698777,0.8844884488448844,,0.9438943894389439,0.1509433962264151,0.34146341463414637,MRI-only baseline
Cascade RF-logreg,AIBL heldout,0.7506297229219143,0.39110252488663505,0.7561273470399529,0.8861788617886178,,0.9537953795379538,0.0,0.21951219512195122,High specificity but weak MCI
ADNI-only hybrid RF,AIBL heldout,0.5491183879093199,0.40587832368142474,0.7530949241709165,0.8696772116236013,,0.6138613861386139,0.6037735849056604,0.0,Zero-shot remains insufficient
Recommended atlas+clinical HGB,AIBL heldout,0.8816120906801007,0.7412351911675291,0.9418087315577356,0.9904209933188441,,0.9636963696369637,0.5283018867924528,0.7317073170731707,Main atlas-guided multimodal model
Recommended atlas+clinical HGB,IXI healthy,0.9982788296041308,0.9982788296041308,,,0.9982788296041308,0.9982788296041308,0.0,0.0,Healthy negative control
Clinical-only RF,AIBL heldout,0.9219143576826196,0.8351672719043649,0.9566692272246348,0.9971021492393143,,0.9702970297029703,0.7547169811320755,0.7804878048780488,Comparator / upper bound
Biomarker-enhanced HGB,AIBL heldout,0.8614609571788413,0.7031398952136355,0.9422017728411358,0.9897770264831361,,0.9570957095709571,0.39622641509433965,0.7560975609756098,Sensitivity analysis
